Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
19907486;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;1;;;43801;795724.00;1018200.00;2013-12-05T00:00:00
19907494;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;2;;;43801;795696.00;1018181.00;2013-12-05T00:00:00
19907508;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;3;;;43801;795695.06;1018140.44;2013-12-05T00:00:00
19907516;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;4;;;43801;795668.00;1018157.00;2013-12-05T00:00:00
19907524;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;5;;;43801;795598.97;1018196.99;2013-12-05T00:00:00
19907532;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;6;;;43801;795630.00;1018099.00;2013-12-05T00:00:00
19907541;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;7;;;43801;795608.73;1018222.23;2013-12-05T00:00:00
19907559;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;8;;;43801;795588.83;1018110.65;2013-12-05T00:00:00
19907567;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;9;;;43801;795374.03;1018451.13;2013-12-05T00:00:00
19907575;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;13;;;43801;795538.77;1018136.82;2022-10-28T00:00:00
19907583;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;17;;;43801;795581.18;1018140.25;2022-10-28T00:00:00
19907591;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;25;;;43801;795655.49;1018277.73;2013-12-05T00:00:00
19907605;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;26;;;43801;795704.00;1018318.00;2013-12-05T00:00:00
19907613;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;28;;;43801;795719.00;1018275.00;2013-12-05T00:00:00
19907621;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;29;;;43801;795685.72;1018233.75;2022-10-28T00:00:00
19907630;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;32;;;43801;795534.00;1018222.00;2013-12-05T00:00:00
19907648;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;33;;;43801;795531.00;1018248.00;2013-12-05T00:00:00
19907656;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;44;;;43801;796360.00;1017711.00;2013-12-05T00:00:00
19907664;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;46;;;43801;795459.22;1018234.04;2014-01-31T00:00:00
19907672;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;48;;;43801;795748.78;1018283.04;2022-10-28T00:00:00
19907699;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;53;;;43801;795302.73;1018380.55;2013-12-05T00:00:00
19907702;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;54;;;43801;795626.26;1018182.10;2022-10-28T00:00:00
19907711;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;56;;;43801;795395.21;1018395.40;2022-10-28T00:00:00
19907729;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;57;;;43801;795736.00;1018477.00;2013-12-05T00:00:00
19907737;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;58;;;43801;795768.00;1018484.00;2013-12-05T00:00:00
19907745;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;59;;;43801;795742.00;1018422.00;2013-12-05T00:00:00
19907753;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;60;;;43801;795784.00;1018426.00;2013-12-05T00:00:00
19907761;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;62;;;43801;795787.02;1018461.07;2022-10-28T00:00:00
19907770;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;64;;;43801;795376.00;1018428.18;2022-10-28T00:00:00
19907788;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;65;;;43801;795400.00;1018443.00;2013-12-05T00:00:00
19907796;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;69;;;43801;795682.81;1018217.29;2022-10-28T00:00:00
19907800;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;70;;;43801;796070.00;1018086.00;2013-12-05T00:00:00
19907818;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;71;;;43801;795688.00;1018449.00;2013-12-05T00:00:00
19907826;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;75;;;43801;795672.00;1016532.00;2013-12-05T00:00:00
19907834;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;77;;;43801;795496.10;1018158.19;2013-12-05T00:00:00
19907842;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;79;;;43801;795470.57;1018169.18;2013-12-05T00:00:00
19907869;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;82;;;43801;795436.00;1018178.00;2013-12-05T00:00:00
19907877;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;84;;;43801;795413.77;1018365.88;2013-12-05T00:00:00
19907885;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;86;;;43801;795417.99;1018217.76;2013-12-05T00:00:00
19907893;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;87;;;43801;795556.00;1018034.00;2013-12-05T00:00:00
19907907;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;88;;;43801;795855.40;1018333.50;2013-12-05T00:00:00
19907915;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;89;;;43801;795837.63;1018113.38;2013-12-05T00:00:00
19907923;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;90;;;43801;795534.64;1018003.35;2022-10-28T00:00:00
19907931;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;91;;;43801;795663.13;1018254.81;2013-12-05T00:00:00
19907940;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;92;;;43801;795568.45;1018056.44;2013-12-05T00:00:00
19907958;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;93;;;43801;795762.72;1018097.74;2013-12-05T00:00:00
19907966;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;94;;;43801;795399.00;1018226.00;2013-12-05T00:00:00
19907974;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;95;;;43801;795760.75;1018012.11;2013-12-05T00:00:00
19907982;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;108;;;43801;795773.36;1018467.30;2013-12-05T00:00:00
19907991;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;109;;;43801;795470.14;1017970.86;2013-12-05T00:00:00
19908008;566853;Tuchoøice;;;;;101885;Neèemice;;;è.p.;110;;;43801;795364.00;1018390.00;2013-12-05T00:00:00
19908016;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;1;;;43801;794178.00;1017727.00;2013-12-05T00:00:00
19908024;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;2;;;43801;794210.64;1017739.38;2022-10-28T00:00:00
19908032;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;3;;;43801;794199.26;1017713.29;2013-12-05T00:00:00
19908041;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;4;;;43801;794174.00;1017743.00;2013-12-05T00:00:00
19908059;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;5;;;43801;794194.92;1017749.13;2022-10-28T00:00:00
19908067;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;6;;;43801;794168.00;1017772.00;2013-12-05T00:00:00
19908075;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;7;;;43801;794154.00;1017789.00;2013-12-05T00:00:00
19908083;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;8;;;43801;794146.00;1017795.09;2022-10-28T00:00:00
19908091;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;9;;;43801;794130.50;1017818.52;2013-12-05T00:00:00
19908105;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;10;;;43801;794119.51;1017831.20;2022-10-28T00:00:00
19908113;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;11;;;43801;794121.75;1017838.84;2013-12-05T00:00:00
19908121;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;12;;;43801;794094.00;1017864.00;2013-12-05T00:00:00
19908130;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;13;;;43801;794070.00;1017882.00;2013-12-05T00:00:00
19908148;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;14;;;43801;794065.00;1017886.00;2013-12-05T00:00:00
19908156;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;15;;;43801;794050.27;1017898.09;2022-10-28T00:00:00
19908164;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;16;;;43801;794032.00;1017917.00;2013-12-05T00:00:00
19908172;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;17;;;43801;794014.54;1017922.20;2022-10-28T00:00:00
19908181;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;18;;;43801;793999.16;1017931.76;2022-10-28T00:00:00
19908199;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;19;;;43801;793988.22;1017938.57;2022-10-28T00:00:00
19908202;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;20;;;43801;793977.56;1017945.60;2022-10-28T00:00:00
19908211;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;21;;;43801;793947.57;1017960.33;2022-10-28T00:00:00
19908229;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;22;;;43801;793928.57;1017967.71;2022-10-28T00:00:00
19908237;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;23;;;43801;793900.69;1017980.14;2022-10-28T00:00:00
19908245;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;24;;;43801;793881.73;1017988.92;2022-10-28T00:00:00
19908253;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;25;;;43801;793870.00;1018001.00;2013-12-05T00:00:00
19908261;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;26;;;43801;794046.34;1017945.82;2022-10-28T00:00:00
19908270;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;27;;;43801;794064.14;1017934.01;2022-10-28T00:00:00
19908288;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;28;;;43801;794082.00;1017915.00;2013-12-05T00:00:00
19908296;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;29;;;43801;794113.05;1017891.07;2022-10-28T00:00:00
19908300;566853;Tuchoøice;;;;;101885;Neèemice;;;è.ev.;30;;;43801;794133.47;1017886.75;2022-10-28T00:00:00
