Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
7553552;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;1;;;28126;673125.59;1056599.41;2013-12-05T00:00:00
7553561;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;2;;;28126;673087.56;1056620.68;2013-12-05T00:00:00
7553579;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;3;;;28126;673054.55;1056600.00;2013-12-05T00:00:00
7553587;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;4;;;28126;673419.25;1056137.39;2013-12-05T00:00:00
7553595;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;5;;;28126;673002.96;1056134.51;2013-12-05T00:00:00
7553609;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;6;;;28126;672972.18;1056631.78;2013-12-05T00:00:00
7553617;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;7;;;28126;672962.56;1056636.60;2013-12-05T00:00:00
7553625;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;8;;;28126;672945.59;1056626.20;2013-12-05T00:00:00
7553633;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;9;;;28126;672923.38;1056571.05;2013-12-05T00:00:00
7553641;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;10;;;28126;672931.05;1056542.84;2013-12-05T00:00:00
7553650;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;11;;;28126;672976.31;1056545.65;2013-12-05T00:00:00
7553668;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;12;;;28126;673024.93;1056518.93;2013-12-05T00:00:00
7553676;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;13;;;28126;673059.79;1056515.52;2013-12-05T00:00:00
7553684;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;14;;;28126;673120.18;1056515.07;2022-07-12T00:00:00
7553692;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;15;;;28126;673177.75;1056448.33;2013-12-05T00:00:00
7553706;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;16;;;28126;673118.31;1056190.02;2013-12-05T00:00:00
7553714;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;17;;;28126;673395.08;1056147.55;2022-12-08T00:00:00
7553731;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;19;;;28126;673049.06;1056495.53;2013-12-05T00:00:00
7553749;575259;Labské Chrèice;;;;;78824;Labské Chrèice;;;è.p.;20;;;28126;673378.38;1056137.03;2013-12-05T00:00:00
