Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
201600;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;1;;;40780;735090.44;942369.67;2013-12-05T00:00:00
201618;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;2;;;40780;735381.09;942394.58;2019-09-03T00:00:00
201626;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;3;;;40780;735399.53;942800.83;2022-10-27T00:00:00
201634;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;4;;;40780;735545.84;942123.57;2022-10-27T00:00:00
201642;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;5;;;40780;735441.94;942218.13;2013-12-05T00:00:00
201651;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;6;;;40780;735306.44;942302.38;2013-12-05T00:00:00
201669;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;7;;;40780;735423.01;942225.18;2020-03-16T00:00:00
201677;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;8;;;40780;735419.60;942245.22;2022-10-27T00:00:00
201685;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;9;;;40780;735380.39;942275.14;2022-10-27T00:00:00
201693;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;10;;;40780;735581.63;942257.50;2013-12-05T00:00:00
201707;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;11;;;40780;735997.89;942089.52;2015-02-09T00:00:00
201715;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;16;;;40780;735615.50;942249.44;2013-12-05T00:00:00
201723;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;18;;;40780;735241.13;942403.31;2013-12-05T00:00:00
201731;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;20;;;40780;735225.27;942469.28;2022-10-27T00:00:00
201740;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;21;;;40780;735167.13;942462.98;2022-10-27T00:00:00
201758;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;23;;;40780;735215.87;942528.39;2017-10-23T00:00:00
201766;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;25;;;40780;735437.70;942011.50;2013-12-05T00:00:00
201774;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;29;;;40780;735052.81;942663.75;2013-12-05T00:00:00
201782;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;37;;;40780;734916.29;942836.08;2022-10-27T00:00:00
201804;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;39;;;40780;734879.06;942901.56;2013-12-05T00:00:00
201812;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;41;;;40780;735633.00;942796.00;2013-12-05T00:00:00
201821;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;42;;;40780;734888.82;942982.76;2024-01-09T00:00:00
201839;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;43;;;40780;734849.31;943210.81;2013-12-05T00:00:00
201847;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;45;;;40780;734844.02;943063.24;2022-10-27T00:00:00
201871;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;50;;;40780;735082.88;942794.81;2013-12-05T00:00:00
201880;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;51;;;40780;735042.89;942781.53;2022-10-27T00:00:00
201898;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;54;;;40780;735071.07;942724.53;2022-10-27T00:00:00
201901;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;55;;;40780;735085.49;942711.64;2022-10-27T00:00:00
201910;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;56;;;40780;735111.60;942719.00;2022-10-27T00:00:00
201928;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;58;;;40780;735196.80;942766.40;2022-10-27T00:00:00
201936;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;59;;;40780;734846.75;943228.31;2013-12-05T00:00:00
201952;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;67;;;40780;735382.91;942654.97;2022-10-27T00:00:00
201961;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;68;;;40780;735432.63;942680.88;2013-12-05T00:00:00
201979;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;69;;;40780;735460.05;942689.78;2022-10-27T00:00:00
201987;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;70;;;40780;735486.36;942695.31;2022-10-27T00:00:00
201995;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;71;;;40780;735522.38;942697.38;2013-12-05T00:00:00
202002;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;73;;;40780;735512.63;942775.69;2013-12-05T00:00:00
202011;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;76;;;40780;735571.03;942787.72;2022-10-27T00:00:00
202029;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;78;;;40780;735660.00;942839.00;2013-12-05T00:00:00
202037;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;80;;;40780;734923.75;943042.63;2013-12-05T00:00:00
202045;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;82;;;40780;735226.88;942607.13;2013-12-05T00:00:00
202053;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;83;;;40780;734837.31;942930.69;2013-12-05T00:00:00
202061;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;84;;;40780;735300.33;942682.10;2013-12-05T00:00:00
202070;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;85;;;40780;735247.56;942709.38;2013-12-05T00:00:00
202088;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;86;;;40780;735538.31;942748.30;2013-12-05T00:00:00
202096;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;87;;;40780;735612.56;942790.10;2022-10-27T00:00:00
202100;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;88;;;40780;735457.56;942301.50;2013-12-05T00:00:00
202118;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;90;;;40780;735402.13;942671.13;2013-12-05T00:00:00
202126;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;91;;;40780;735214.88;942489.06;2013-12-05T00:00:00
202134;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;92;;;40780;734847.97;943267.20;2013-12-05T00:00:00
202142;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;95;;;40780;735724.04;942845.31;2022-10-27T00:00:00
202151;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;96;;;40780;735742.00;942841.00;2013-12-05T00:00:00
202169;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;97;;;40780;735765.25;942847.44;2013-12-05T00:00:00
202177;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;99;;;40780;735798.81;942860.13;2013-12-05T00:00:00
202185;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;102;;;40780;734809.22;942939.41;2022-10-27T00:00:00
202207;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;105;;;40780;735878.93;942884.35;2022-10-27T00:00:00
202215;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;106;;;40780;735628.69;942839.25;2013-12-05T00:00:00
202231;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;108;;;40780;735914.87;942893.51;2022-10-27T00:00:00
202240;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;112;;;40780;735883.34;942902.35;2022-10-27T00:00:00
202258;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;113;;;40780;735367.15;942800.98;2022-10-27T00:00:00
202266;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;114;;;40780;735342.28;942801.00;2022-10-27T00:00:00
202274;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;115;;;40780;735284.13;942778.63;2013-12-05T00:00:00
202282;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;116;;;40780;735270.69;942784.80;2013-12-05T00:00:00
202291;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;117;;;40780;735530.38;942271.44;2013-12-05T00:00:00
202304;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;119;;;40780;735480.00;942293.06;2013-12-05T00:00:00
202312;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;120;;;40780;735585.00;942658.00;2013-12-05T00:00:00
202321;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;122;;;40780;734832.97;943343.52;2024-01-08T00:00:00
202339;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;123;;;40780;734858.38;943314.69;2013-12-05T00:00:00
202347;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;124;;;40780;734817.83;943323.69;2022-10-27T00:00:00
202355;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;125;;;40780;734813.75;943355.44;2013-12-05T00:00:00
202363;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;126;;;40780;734792.78;943388.75;2013-12-05T00:00:00
202371;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;128;;;40780;735423.23;942165.12;2015-01-22T00:00:00
202380;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;129;;;40780;735798.06;942877.56;2013-12-05T00:00:00
202398;562947;Vilémov;;;;;181889;Vilémov;;;è.p.;130;;;40780;735074.81;943347.38;2013-12-05T00:00:00
