Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
9417923;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;1;;;58401;689636.68;1087551.65;2022-10-31T00:00:00
9417931;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;2;;;58401;689676.13;1087568.38;2013-12-04T00:00:00
9417940;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;3;;;58401;689729.38;1087611.71;2022-10-31T00:00:00
9417958;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;4;;;58401;689759.38;1087664.13;2013-12-04T00:00:00
9417966;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;5;;;58401;689795.62;1087721.36;2022-10-31T00:00:00
9417974;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;6;;;58401;689723.03;1087793.08;2022-10-31T00:00:00
9417982;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;7;;;58401;689796.80;1087859.13;2022-10-31T00:00:00
9417991;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;8;;;58401;689774.57;1087890.59;2022-10-31T00:00:00
9418008;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;9;;;58401;689838.54;1087806.04;2022-10-31T00:00:00
9418016;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;10;;;58401;689580.88;1087821.00;2013-12-04T00:00:00
9418024;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;11;;;58401;689518.70;1087832.24;2022-10-31T00:00:00
9418032;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;12;;;58401;689506.88;1087718.75;2022-10-31T00:00:00
9418041;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;13;;;58401;689494.06;1087614.88;2013-12-04T00:00:00
9418059;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;14;;;58401;689443.26;1087553.93;2022-10-31T00:00:00
9418067;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;15;;;58401;689393.42;1087454.34;2022-10-31T00:00:00
9418075;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;16;;;58401;689438.81;1087469.63;2013-12-04T00:00:00
9418083;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;17;;;58401;689350.38;1087176.13;2013-12-04T00:00:00
9418091;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;18;;;58401;689472.44;1087506.75;2013-12-04T00:00:00
9418105;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;19;;;58401;689644.13;1087617.63;2013-12-04T00:00:00
9418113;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;20;;;58401;689783.44;1087813.75;2013-12-04T00:00:00
9418121;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;21;;;58401;689462.74;1087469.58;2022-10-31T00:00:00
9418130;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;22;;;58401;689785.55;1087793.18;2022-10-31T00:00:00
9418148;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;23;;;58401;689561.88;1087622.13;2013-12-04T00:00:00
9418156;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;24;;;58401;689556.81;1087633.63;2013-12-04T00:00:00
9418164;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;25;;;58401;689468.44;1087744.50;2013-12-04T00:00:00
9418172;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;26;;;58401;689443.69;1087739.25;2013-12-04T00:00:00
9418181;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;27;;;58401;689486.98;1087701.57;2022-10-31T00:00:00
9418202;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;29;;;58401;689633.94;1087802.88;2013-12-04T00:00:00
9418211;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;32;;;58401;689536.87;1087681.47;2013-12-04T00:00:00
9418229;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;33;;;58401;689638.50;1087843.75;2013-12-04T00:00:00
9418237;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;34;;;58401;689668.56;1087650.88;2013-12-04T00:00:00
9418245;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;35;;;58401;689930.00;1087820.00;2013-12-04T00:00:00
9418253;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;36;;;58401;689470.00;1087561.63;2013-12-04T00:00:00
9418261;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;37;;;58401;689537.90;1087808.30;2022-10-31T00:00:00
9418270;573566;Bìlá;;;;;57991;Bìlá;;;è.p.;38;;;58401;689754.87;1087842.14;2013-12-04T00:00:00
