Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1958895;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;1;;;67974;607513.55;1120366.05;2013-12-04T00:00:00
1958909;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;2;;;67974;607604.26;1120842.87;2013-12-04T00:00:00
1958917;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;3;;;67974;608228.65;1121119.50;2013-12-04T00:00:00
1958925;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;4;;;67974;607573.64;1120775.79;2022-11-14T00:00:00
1958933;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;5;;;67974;607596.09;1120768.37;2013-12-04T00:00:00
1958941;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;6;;;67974;607588.56;1120729.92;2019-09-11T00:00:00
1958950;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;7;;;67974;607634.52;1120723.52;2019-09-17T00:00:00
1958968;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;8;;;67974;607583.29;1120704.47;2013-12-04T00:00:00
1958976;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;9;;;67974;607558.19;1120643.44;2013-12-04T00:00:00
1958984;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;10;;;67974;607592.75;1120667.68;2013-12-04T00:00:00
1958992;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;11;;;67974;607585.75;1120613.17;2013-12-04T00:00:00
1959000;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;12;;;67974;607577.92;1120591.50;2013-12-04T00:00:00
1959018;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;13;;;67974;607578.26;1120551.73;2013-12-04T00:00:00
1959026;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;14;;;67974;607567.18;1120531.05;2013-12-04T00:00:00
1959034;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;15;;;67974;607562.32;1120495.03;2022-11-14T00:00:00
1959042;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;16;;;67974;608231.88;1121169.58;2013-12-04T00:00:00
1959051;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;17;;;67974;607510.26;1120500.73;2013-12-04T00:00:00
1959069;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;18;;;67974;607520.54;1120501.06;2019-09-06T00:00:00
1959077;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;19;;;67974;607551.32;1120434.87;2022-11-14T00:00:00
1959085;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;20;;;67974;607532.54;1120397.44;2022-11-14T00:00:00
1959093;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;21;;;67974;607507.78;1120340.50;2013-12-04T00:00:00
1959107;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;22;;;67974;607473.70;1120310.64;2022-11-14T00:00:00
1959115;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;23;;;67974;608188.14;1121391.16;2013-12-04T00:00:00
1959123;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;24;;;67974;607540.65;1120579.96;2013-12-04T00:00:00
1959131;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;25;;;67974;607544.85;1120514.26;2013-12-04T00:00:00
1959140;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;26;;;67974;607522.18;1120477.25;2013-12-04T00:00:00
1959158;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;27;;;67974;608201.02;1121135.58;2013-12-04T00:00:00
1959166;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;28;;;67974;607606.59;1120858.93;2013-12-04T00:00:00
1959174;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;29;;;67974;607564.87;1120547.71;2019-08-23T00:00:00
1959182;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;30;;;67974;607555.53;1120739.74;2013-12-04T00:00:00
1959191;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;31;;;67974;607537.70;1120532.54;2013-12-04T00:00:00
1959204;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;32;;;67974;607674.29;1120542.45;2013-12-04T00:00:00
1959212;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;33;;;67974;607571.43;1120579.52;2013-12-04T00:00:00
1959221;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;34;;;67974;607625.78;1120474.69;2013-12-04T00:00:00
1959247;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;36;;;67974;607517.46;1120534.81;2013-12-04T00:00:00
1959255;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;37;;;67974;609136.41;1120467.93;2013-12-04T00:00:00
1959271;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;39;;;67974;607524.13;1120460.79;2013-12-04T00:00:00
1959280;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;40;;;67974;608163.86;1121381.93;2013-12-04T00:00:00
1959298;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;41;;;67974;607633.04;1120834.96;2013-12-04T00:00:00
1959301;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;42;;;67974;607414.92;1119936.29;2013-12-04T00:00:00
1959328;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;44;;;67974;607377.77;1119935.76;2013-12-04T00:00:00
1959336;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;45;;;67974;607586.26;1120846.53;2013-12-04T00:00:00
1959344;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;46;;;67974;608233.93;1121170.99;2022-11-14T00:00:00
1959352;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;47;;;67974;607511.37;1120550.25;2013-12-04T00:00:00
1959361;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;48;;;67974;607438.78;1120536.01;2013-12-04T00:00:00
1959379;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;49;;;67974;607651.35;1120690.03;2013-12-04T00:00:00
1959387;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;50;;;67974;607662.17;1120486.93;2013-12-04T00:00:00
1959395;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;51;;;67974;607666.35;1120507.22;2013-12-04T00:00:00
1959409;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;52;;;67974;607500.03;1120522.31;2013-12-04T00:00:00
1959417;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;53;;;67974;607680.24;1120562.47;2013-12-04T00:00:00
1959425;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;54;;;67974;607684.22;1120587.52;2013-12-04T00:00:00
1959433;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;55;;;67974;607669.90;1120521.11;2022-11-14T00:00:00
1959441;581810;Køtìnov;;;;;76694;Køtìnov;;;è.p.;56;;;67974;608194.22;1121407.69;2013-12-04T00:00:00
