Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
6903452;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;1;;;34401;863331.08;1102962.22;2013-12-05T00:00:00
6903461;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;2;;;34401;862967.10;1102846.59;2013-12-05T00:00:00
6903479;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;3;;;34401;863338.95;1103006.08;2013-12-05T00:00:00
6903487;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;5;;;34401;863323.36;1103085.58;2013-12-05T00:00:00
6903495;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;6;;;34401;863342.62;1103031.23;2013-12-05T00:00:00
6903509;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;7;;;34401;863354.56;1103039.26;2013-12-05T00:00:00
6903517;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;8;;;34401;863092.03;1102957.00;2013-12-05T00:00:00
6903525;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;9;;;34401;863078.69;1102970.31;2013-12-05T00:00:00
6903533;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;10;;;34401;863429.68;1102958.21;2013-12-05T00:00:00
6903541;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;11;;;34401;863394.66;1103038.40;2013-12-05T00:00:00
6903550;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;12;;;34401;863408.15;1103020.19;2013-12-05T00:00:00
6903568;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;14;;;34401;863389.16;1102982.18;2013-12-05T00:00:00
6903576;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;15;;;34401;863068.71;1102987.77;2013-12-05T00:00:00
6903584;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;16;;;34401;863351.23;1102967.61;2013-12-05T00:00:00
6903592;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;17;;;34401;863150.07;1102862.94;2016-08-12T00:00:00
6903606;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;18;;;34401;863140.63;1102864.20;2013-12-05T00:00:00
6903614;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;19;;;34401;863142.72;1102903.38;2013-12-05T00:00:00
6903622;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;20;;;34401;863931.83;1101906.77;2013-12-05T00:00:00
6903631;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;21;;;34401;863604.97;1101433.18;2013-12-05T00:00:00
6903649;554081;Paseènice;;;;;405469;Nová Paseènice;;;è.p.;22;;;34401;863104.80;1102939.54;2013-12-05T00:00:00
