Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
2991683;532606;Choratice;;;;;52701;Choratice;;;è.p.;1;;;28506;714279.22;1074678.22;2023-09-13T00:00:00
2991691;532606;Choratice;;;;;52701;Choratice;;;è.p.;2;;;28506;714269.92;1074633.73;2022-10-15T00:00:00
2991705;532606;Choratice;;;;;52701;Choratice;;;è.p.;3;;;28506;714229.81;1074666.06;2025-04-09T00:00:00
2991713;532606;Choratice;;;;;52701;Choratice;;;è.p.;5;;;28506;714234.19;1074784.91;2025-08-04T00:00:00
2991721;532606;Choratice;;;;;52701;Choratice;;;è.p.;6;;;28506;714251.73;1074818.71;2022-10-15T00:00:00
2991730;532606;Choratice;;;;;52701;Choratice;;;è.p.;9;;;28506;714350.58;1074788.80;2024-07-23T00:00:00
2991748;532606;Choratice;;;;;52701;Choratice;;;è.p.;10;;;28506;714333.38;1074768.36;2024-07-23T00:00:00
2991756;532606;Choratice;;;;;52701;Choratice;;;è.p.;13;;;28506;714268.06;1074737.75;2013-12-01T00:00:00
2991764;532606;Choratice;;;;;52701;Choratice;;;è.p.;14;;;28506;714251.81;1074715.38;2013-12-01T00:00:00
2991772;532606;Choratice;;;;;52701;Choratice;;;è.p.;15;;;28506;714202.62;1074735.15;2022-10-15T00:00:00
2991781;532606;Choratice;;;;;52701;Choratice;;;è.p.;18;;;28506;714403.78;1074766.45;2022-10-15T00:00:00
2991799;532606;Choratice;;;;;52701;Choratice;;;è.p.;20;;;28506;714239.49;1074619.11;2023-08-07T00:00:00
2991802;532606;Choratice;;;;;52701;Choratice;;;è.p.;21;;;28506;714222.67;1074631.48;2022-10-15T00:00:00
2991811;532606;Choratice;;;;;52701;Choratice;;;è.p.;23;;;28506;714327.36;1074831.71;2024-07-23T00:00:00
2991829;532606;Choratice;;;;;52701;Choratice;;;è.p.;25;;;28506;714340.02;1074672.25;2022-10-15T00:00:00
2991837;532606;Choratice;;;;;52701;Choratice;;;è.p.;26;;;28506;713991.92;1074705.13;2022-10-15T00:00:00
2991845;532606;Choratice;;;;;52701;Choratice;;;è.p.;27;;;28506;714224.05;1074686.00;2022-10-15T00:00:00
2991853;532606;Choratice;;;;;52701;Choratice;;;è.p.;29;;;28506;714183.38;1074613.00;2013-12-01T00:00:00
2991861;532606;Choratice;;;;;52701;Choratice;;;è.p.;30;;;28506;714163.52;1074675.19;2025-10-27T00:00:00
2991870;532606;Choratice;;;;;52701;Choratice;;;è.p.;33;;;28506;714284.38;1074736.38;2013-12-01T00:00:00
3123545;532606;Choratice;;;;;52701;Choratice;;;è.p.;34;;;28506;714325.00;1074752.00;2013-12-01T00:00:00
14331713;532606;Choratice;;;;;52701;Choratice;;;è.p.;4;;;28506;714175.73;1074784.66;2022-10-15T00:00:00
14331721;532606;Choratice;;;;;52701;Choratice;;;è.p.;7;;;28506;714290.00;1074803.34;2024-07-23T00:00:00
14331730;532606;Choratice;;;;;52701;Choratice;;;è.p.;11;;;28506;714327.49;1074729.51;2024-07-23T00:00:00
14331748;532606;Choratice;;;;;52701;Choratice;;;è.p.;12;;;28506;714322.59;1074706.84;2022-10-15T00:00:00
14331756;532606;Choratice;;;;;52701;Choratice;;;è.p.;16;;;28506;714237.09;1074745.47;2024-07-23T00:00:00
14331764;532606;Choratice;;;;;52701;Choratice;;;è.p.;22;;;28506;714230.81;1074700.50;2013-12-01T00:00:00
14331772;532606;Choratice;;;;;52701;Choratice;;;è.p.;28;;;28506;715359.65;1074823.96;2022-10-15T00:00:00
14331781;532606;Choratice;;;;;52701;Choratice;;;è.p.;31;;;28506;714158.25;1074630.00;2013-12-01T00:00:00
14331799;532606;Choratice;;;;;52701;Choratice;;;è.p.;32;;;28506;714172.07;1074765.22;2024-07-23T00:00:00
14331811;532606;Choratice;;;;;52701;Choratice;;;è.ev.;5;;;28506;714294.36;1074699.98;2016-07-04T00:00:00
14331829;532606;Choratice;;;;;52701;Choratice;;;è.ev.;9;;;28506;714299.78;1074771.51;2023-09-25T00:00:00
26563291;532606;Choratice;;;;;52701;Choratice;;;è.p.;35;;;28506;714418.00;1074647.00;2013-12-01T00:00:00
26780763;532606;Choratice;;;;;52701;Choratice;;;è.p.;17;;;28506;714275.63;1074685.75;2013-12-01T00:00:00
30762961;532606;Choratice;;;;;52701;Choratice;;;è.p.;36;;;28506;714215.82;1074446.57;2013-12-01T00:00:00
