Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22780203;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;1;;;26751;778419.56;1059521.00;2013-12-01T00:00:00
22780211;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;2;;;26751;778451.06;1059507.63;2013-12-01T00:00:00
22780220;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;3;;;26751;778473.19;1059492.38;2013-12-01T00:00:00
22780238;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;4;;;26751;778477.44;1059521.50;2013-12-01T00:00:00
22780246;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;5;;;26751;778491.24;1059506.33;2013-12-01T00:00:00
22780254;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;6;;;26751;778335.19;1059504.88;2013-12-01T00:00:00
22780262;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;7;;;26751;778504.94;1059542.63;2013-12-01T00:00:00
22780271;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;8;;;26751;778485.63;1059544.13;2013-12-01T00:00:00
22780289;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;9;;;26751;778511.50;1059559.38;2013-12-01T00:00:00
22780297;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;10;;;26751;778505.38;1059588.50;2013-12-01T00:00:00
22780301;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;11;;;26751;778510.13;1059598.88;2013-12-01T00:00:00
22780327;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;13;;;26751;778462.13;1059588.75;2013-12-01T00:00:00
22780335;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;14;;;26751;778484.81;1059482.80;2013-12-01T00:00:00
22780343;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;15;;;26751;778615.19;1059789.88;2013-12-01T00:00:00
22780351;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;16;;;26751;778527.00;1059584.25;2013-12-01T00:00:00
22780360;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;17;;;26751;778426.60;1059212.20;2023-11-06T00:00:00
22780378;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;18;;;26751;778447.75;1059527.46;2022-10-15T00:00:00
22780386;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;19;;;26751;778625.50;1059760.88;2013-12-01T00:00:00
22780394;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;20;;;26751;778643.95;1059798.74;2022-10-15T00:00:00
22780408;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;21;;;26751;778406.19;1059484.13;2013-12-01T00:00:00
22780416;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;22;;;26751;778520.56;1059574.13;2013-12-01T00:00:00
22780424;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;23;;;26751;778495.06;1059557.50;2013-12-01T00:00:00
22780432;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;24;;;26751;778386.94;1059584.50;2015-11-30T00:00:00
22780441;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;25;;;26751;778428.31;1059252.38;2013-12-01T00:00:00
22780459;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;26;;;26751;778443.31;1059577.50;2013-12-01T00:00:00
22780467;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;27;;;26751;778563.46;1059600.90;2013-12-01T00:00:00
22780475;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;28;;;26751;778479.31;1059577.50;2013-12-01T00:00:00
22780483;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;29;;;26751;778618.22;1059749.73;2013-12-01T00:00:00
22780491;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;30;;;26751;778677.44;1059834.00;2013-12-01T00:00:00
22780505;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;31;;;26751;778616.38;1059725.38;2013-12-01T00:00:00
22780513;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;32;;;26751;778561.81;1059560.38;2013-12-01T00:00:00
22780521;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;33;;;26751;778418.88;1059171.50;2013-12-01T00:00:00
22780530;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;34;;;26751;778576.35;1059650.53;2022-10-15T00:00:00
22780548;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;35;;;26751;778665.00;1059826.75;2013-12-01T00:00:00
22780556;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;36;;;26751;778483.35;1059463.20;2022-10-15T00:00:00
22780564;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;37;;;26751;778584.47;1059662.49;2022-10-15T00:00:00
22780572;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;38;;;26751;778485.63;1059450.50;2013-12-01T00:00:00
22780581;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;39;;;26751;778617.31;1059612.50;2013-12-01T00:00:00
22780599;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;40;;;26751;778570.06;1059641.25;2013-12-01T00:00:00
22780602;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;41;;;26751;778410.02;1059021.42;2013-12-01T00:00:00
22780611;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;42;;;26751;778407.52;1059010.02;2013-12-01T00:00:00
22780629;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;43;;;26751;778472.25;1059398.38;2013-12-01T00:00:00
22780637;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;44;;;26751;778603.44;1059696.25;2013-12-01T00:00:00
22780645;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;45;;;26751;778468.43;1059386.50;2022-10-15T00:00:00
22780653;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;46;;;26751;778464.43;1059362.36;2022-10-15T00:00:00
22780661;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;47;;;26751;778467.31;1059346.38;2013-12-01T00:00:00
22780670;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;48;;;26751;778462.88;1059330.38;2013-12-01T00:00:00
22780688;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;49;;;26751;778685.75;1059229.00;2013-12-01T00:00:00
22780696;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;50;;;26751;778369.26;1059567.38;2019-01-08T00:00:00
22780700;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;51;;;26751;778487.75;1059430.75;2013-12-01T00:00:00
22780718;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;52;;;26751;778417.25;1059141.63;2013-12-01T00:00:00
22780726;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;53;;;26751;778555.17;1059625.00;2022-11-16T00:00:00
22780734;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;54;;;26751;778454.94;1059268.00;2013-12-01T00:00:00
22780742;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;55;;;26751;778452.50;1059238.00;2013-12-01T00:00:00
22780751;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;56;;;26751;778455.63;1059218.41;2020-08-06T00:00:00
22780769;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;57;;;26751;778447.13;1059196.38;2013-12-01T00:00:00
22780777;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;58;;;26751;778449.98;1059179.60;2022-02-02T00:00:00
22780785;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;59;;;26751;778441.44;1059143.25;2013-12-01T00:00:00
22780793;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;60;;;26751;778497.63;1059185.56;2022-10-15T00:00:00
22780807;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;61;;;26751;778487.31;1059172.00;2013-12-01T00:00:00
22780815;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;62;;;26751;778515.75;1059197.63;2013-12-01T00:00:00
22780823;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;63;;;26751;778531.94;1059206.75;2013-12-01T00:00:00
22780831;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;64;;;26751;778582.45;1059228.81;2013-12-01T00:00:00
22780840;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;65;;;26751;778626.00;1059208.38;2013-12-01T00:00:00
22780858;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;66;;;26751;778604.00;1059572.63;2013-12-01T00:00:00
22780866;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;67;;;26751;778410.88;1059108.75;2013-12-01T00:00:00
22780874;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;68;;;26751;778396.44;1059057.88;2013-12-01T00:00:00
22780882;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;69;;;26751;778401.75;1059074.63;2013-12-01T00:00:00
22780891;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;70;;;26751;778394.38;1059050.00;2013-12-01T00:00:00
22780904;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;71;;;26751;778645.50;1059248.13;2013-12-01T00:00:00
22780912;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;72;;;26751;778669.25;1059218.75;2013-12-01T00:00:00
22780921;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;73;;;26751;778477.19;1059612.25;2013-12-01T00:00:00
22780939;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;74;;;26751;778619.88;1059239.88;2013-12-01T00:00:00
22780947;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;75;;;26751;778597.50;1059606.00;2013-12-01T00:00:00
22780955;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;76;;;26751;778607.92;1059586.42;2022-10-15T00:00:00
22780963;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;77;;;26751;778426.69;1059577.50;2013-12-01T00:00:00
22780971;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;78;;;26751;778313.56;1059493.00;2013-12-01T00:00:00
22780980;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;79;;;26751;778535.00;1059556.13;2013-12-01T00:00:00
24329835;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;80;;;26751;778255.00;1059261.50;2013-12-01T00:00:00
24329843;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;81;;;26751;778375.40;1059216.02;2022-10-15T00:00:00
24329851;534421;Bavorynì;;;;;1210;Bavorynì;;;è.p.;82;;;26751;778693.31;1059223.01;2022-10-15T00:00:00
