Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
20012993;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;1;;;37008;752947.67;1169834.41;2013-12-03T00:00:00
20013001;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;2;;;37008;752950.96;1169818.08;2013-12-03T00:00:00
20013019;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;3;;;37008;752927.10;1169813.97;2013-12-03T00:00:00
20013027;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699802;Obecní;è.p.;4;;;37008;752919.46;1169735.22;2013-12-03T00:00:00
20013035;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699802;Obecní;è.p.;5;;;37008;752950.50;1169751.33;2020-09-10T00:00:00
20013043;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699802;Obecní;è.p.;6;;;37008;752953.59;1169735.87;2013-12-03T00:00:00
20013051;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699853;Pøíèná;è.p.;7;;;37008;752988.88;1169691.24;2013-12-03T00:00:00
20013060;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699691;Dolní;è.p.;8;;;37008;752992.04;1169681.33;2013-12-03T00:00:00
20013078;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;9;;;37008;752994.49;1169669.42;2013-12-03T00:00:00
20013086;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;10;;;37008;752969.70;1169670.21;2013-12-03T00:00:00
20013094;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699853;Pøíèná;è.p.;11;;;37008;752946.27;1169684.08;2013-12-03T00:00:00
20013108;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699802;Obecní;è.p.;12;;;37008;752946.67;1169672.30;2013-12-03T00:00:00
20013116;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699802;Obecní;è.p.;13;;;37008;752947.16;1169664.34;2013-12-03T00:00:00
20013124;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699853;Pøíèná;è.p.;14;;;37008;752922.88;1169676.17;2013-12-03T00:00:00
20013132;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699853;Pøíèná;è.p.;15;;;37008;752922.45;1169683.98;2013-12-03T00:00:00
20013141;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;16;;;37008;752923.35;1169668.19;2013-12-03T00:00:00
20013159;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;17;;;37008;752946.27;1169656.38;2013-12-03T00:00:00
20013167;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699756;Lesní;è.p.;18;;;37008;752937.74;1169610.78;2013-12-03T00:00:00
20013175;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699730;K Šemberku;è.p.;19;;;37008;752909.37;1169507.63;2013-12-03T00:00:00
20013183;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699691;Dolní;è.p.;20;;;37008;753101.48;1169526.32;2013-12-03T00:00:00
20013191;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699811;Pod Lomem;è.p.;21;;;37008;753097.95;1169352.57;2013-12-03T00:00:00
20013205;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699730;K Šemberku;è.p.;22;;;37008;752867.24;1169709.35;2013-12-03T00:00:00
20013221;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;24;;;37008;752788.07;1169750.86;2013-12-03T00:00:00
20013230;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;25;;;37008;752766.54;1169723.79;2018-07-13T00:00:00
20013256;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;27;;;37008;752755.56;1169728.52;2013-12-03T00:00:00
20013264;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699853;Pøíèná;è.p.;28;;;37008;752968.83;1169682.34;2013-12-03T00:00:00
20013272;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;29;;;37008;752732.80;1169771.30;2013-12-03T00:00:00
20013281;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;30;;;37008;752886.27;1169851.57;2013-12-03T00:00:00
20013299;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;31;;;37008;752894.98;1169809.19;2013-12-03T00:00:00
20013302;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699730;K Šemberku;è.p.;32;;;37008;752870.63;1169810.21;2013-12-03T00:00:00
20013311;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;33;;;37008;752848.15;1169817.29;2025-01-30T00:00:00
20013329;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;34;;;37008;752831.57;1169806.53;2013-12-03T00:00:00
20013337;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699888;Úzká;è.p.;35;;;37008;752815.65;1169769.02;2013-12-03T00:00:00
20013345;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;36;;;37008;752806.78;1169798.76;2013-12-03T00:00:00
20013353;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;37;;;37008;752917.26;1169799.75;2013-12-03T00:00:00
20013361;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;38;;;37008;752800.55;1169809.59;2013-12-03T00:00:00
20013370;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;39;;;37008;752786.48;1169807.17;2013-12-03T00:00:00
20013388;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;40;;;37008;752790.49;1169832.41;2013-12-03T00:00:00
20013396;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;41;;;37008;752793.41;1169855.37;2013-12-03T00:00:00
20013400;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;42;;;37008;752786.06;1169877.04;2013-12-03T00:00:00
20013418;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;43;;;37008;752794.89;1169911.46;2013-12-03T00:00:00
20013426;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699772;Na Návsi;è.p.;44;;;37008;752787.59;1169932.51;2013-12-03T00:00:00
20013434;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699870;U Veselských;è.p.;45;;;37008;752768.69;1168957.87;2013-12-03T00:00:00
20013442;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;80608;Hodìjovická;è.p.;46;;;37008;753104.09;1169789.28;2023-04-04T00:00:00
20013451;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;47;;;37008;752780.47;1169983.65;2013-12-03T00:00:00
20013469;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699799;Na Vyhlídce;è.p.;48;;;37008;752780.92;1170002.93;2013-12-03T00:00:00
20013477;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;49;;;37008;752758.72;1169981.36;2013-12-03T00:00:00
20013485;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;51;;;37008;752752.44;1170019.73;2013-12-03T00:00:00
20013493;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699896;V Koutì;è.p.;52;;;37008;752716.79;1169952.96;2013-12-03T00:00:00
20013507;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699896;V Koutì;è.p.;53;;;37008;752705.47;1169951.95;2019-03-20T00:00:00
20013515;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;54;;;37008;752703.30;1169972.29;2013-12-03T00:00:00
20013523;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;55;;;37008;752691.43;1169938.84;2013-12-03T00:00:00
20013531;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699713;Horní;è.p.;56;;;37008;752708.81;1169911.05;2013-12-03T00:00:00
20013540;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699861;Srubecká;è.p.;57;;;37008;752620.51;1169953.76;2013-12-03T00:00:00
20013558;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699861;Srubecká;è.p.;58;;;37008;752586.61;1169956.81;2013-12-03T00:00:00
20013566;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;59;;;37008;752540.56;1170205.62;2013-12-03T00:00:00
20013574;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;60;;;37008;752685.82;1170091.91;2013-12-03T00:00:00
20013582;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;61;;;37008;752687.88;1170087.12;2023-12-15T00:00:00
20013591;545074;Staré Hodìjovice;;;;;154334;Staré Hodìjovice;699721;K Hùrce;è.p.;62;;;37008;752677.70;1170079.05;2013-12-03T00:00:00
