Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
17243955;538647;Postøižín;;;;;126209;Postøižín;418510;Teplická;è.p.;1;;;25070;743134.50;1026549.00;2013-12-01T00:00:00
17243963;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;2;;;25070;743127.91;1026569.55;2013-12-01T00:00:00
17243971;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;3;;;25070;743115.00;1026586.00;2013-12-01T00:00:00
17243980;538647;Postøižín;;;;;126209;Postøižín;418501;Pøíèná;è.p.;4;;;25070;743290.38;1026863.81;2013-12-01T00:00:00
17243998;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;5;;;25070;743098.06;1026650.19;2013-12-01T00:00:00
17244005;538647;Postøižín;;;;;126209;Postøižín;418510;Teplická;è.p.;6;;;25070;743071.75;1026657.64;2013-12-01T00:00:00
17244013;538647;Postøižín;;;;;126209;Postøižín;418579;Krátká;è.p.;7;;;25070;743047.06;1026650.69;2013-12-01T00:00:00
17244021;538647;Postøižín;;;;;126209;Postøižín;418587;U Koupalištì;è.p.;8;;;25070;743034.00;1026615.44;2013-12-01T00:00:00
17244030;538647;Postøižín;;;;;126209;Postøižín;418587;U Koupalištì;è.p.;9;;;25070;743032.94;1026622.94;2013-12-01T00:00:00
17244048;538647;Postøižín;;;;;126209;Postøižín;418501;Pøíèná;è.p.;10;;;25070;743270.00;1026900.00;2013-12-01T00:00:00
17244056;538647;Postøižín;;;;;126209;Postøižín;418587;U Koupalištì;è.p.;11;;;25070;743007.31;1026636.81;2013-12-01T00:00:00
17244064;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;12;;;25070;743037.19;1026706.75;2013-12-01T00:00:00
17244072;538647;Postøižín;;;;;126209;Postøižín;418561;Pražská;è.p.;13;;;25070;743013.67;1026723.01;2022-10-18T00:00:00
17244081;538647;Postøižín;;;;;126209;Postøižín;418501;Pøíèná;è.p.;14;;;25070;743229.99;1026894.62;2024-03-19T00:00:00
17244099;538647;Postøižín;;;;;126209;Postøižín;418501;Pøíèná;è.p.;15;;;25070;743294.19;1026908.81;2013-12-01T00:00:00
17244102;538647;Postøižín;;;;;126209;Postøižín;418544;Zahradní;è.p.;16;;;25070;742973.13;1026771.88;2017-03-22T00:00:00
17244111;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;17;;;25070;743058.81;1026842.13;2013-12-01T00:00:00
17244129;538647;Postøižín;;;;;126209;Postøižín;418501;Pøíèná;è.p.;18;;;25070;743261.11;1026862.20;2024-03-18T00:00:00
17244137;538647;Postøižín;;;;;126209;Postøižín;418536;Okružní;è.p.;19;;;25070;743018.36;1026820.22;2022-10-18T00:00:00
17244145;538647;Postøižín;;;;;126209;Postøižín;418536;Okružní;è.p.;20;;;25070;743042.93;1026808.38;2022-10-18T00:00:00
17244153;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;21;;;25070;743089.06;1026843.35;2013-12-01T00:00:00
17244161;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;22;;;25070;743121.00;1026828.00;2013-12-01T00:00:00
17244170;538647;Postøižín;;;;;126209;Postøižín;418471;V Zátiší;è.p.;23;;;25070;743359.19;1026873.06;2013-12-01T00:00:00
17244188;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;24;;;25070;743161.06;1026827.44;2013-12-01T00:00:00
17244196;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;25;;;25070;743194.19;1026826.38;2013-12-01T00:00:00
17244200;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;26;;;25070;743210.19;1026825.00;2013-12-01T00:00:00
17244218;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;27;;;25070;743125.00;1026790.00;2013-12-01T00:00:00
17244226;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;28;;;25070;743114.46;1026805.98;2022-10-18T00:00:00
17244234;538647;Postøižín;;;;;126209;Postøižín;418480;Dlouhá;è.p.;29;;;25070;743086.88;1026801.00;2013-12-01T00:00:00
17244242;538647;Postøižín;;;;;126209;Postøižín;418536;Okružní;è.p.;30;;;25070;743072.44;1026791.38;2013-12-01T00:00:00
17244251;538647;Postøižín;;;;;126209;Postøižín;418536;Okružní;è.p.;31;;;25070;743069.00;1026757.00;2013-12-01T00:00:00
