Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
1531280;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808997;U Kaplièky;è.p.;1;;;26718;761060.99;1059189.46;2013-12-05T00:00:00
1531298;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808997;U Kaplièky;è.p.;2;;;26718;761054.38;1059215.33;2013-12-05T00:00:00
1531301;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808997;U Kaplièky;è.p.;3;;;26718;761024.11;1059234.00;2013-12-05T00:00:00
1531328;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;809012;Ulièka;è.p.;5;;;26718;760921.51;1059134.99;2013-12-05T00:00:00
1531336;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;809012;Ulièka;è.p.;6;;;26718;760941.93;1059132.73;2013-12-05T00:00:00
1531344;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808946;Rovinská;è.p.;7;;;26718;760941.87;1059241.52;2013-12-05T00:00:00
1531352;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808946;Rovinská;è.p.;10;;;26718;760917.93;1059179.52;2013-12-05T00:00:00
1531361;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808946;Rovinská;è.p.;11;;;26718;760884.59;1059210.36;2013-12-05T00:00:00
1531379;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808946;Rovinská;è.p.;12;;;26718;760917.44;1059229.64;2013-12-05T00:00:00
1531387;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808997;U Kaplièky;è.p.;14;;;26718;761084.60;1059276.64;2013-12-05T00:00:00
1531395;531171;Hlásná Tøebaò;;;;;38903;Hlásná Tøebaò;808997;U Kaplièky;è.p.;15;;;26718;761071.91;1059239.71;2013-12-05T00:00:00
